OBJECTID,JDMC,ATM,KTV,三星级酒店,专科医院,世界遗产,中介,中国菜,中学,乒乓球,二手车,五星级酒店,产业园,会展展览,住宅区,便利店,保险,保龄球,信息咨询中心,停车场,健身中心,充电站,免税店,公交站,公共事业,公厕,公司,公园,其他,其他能源站,写字楼,农家乐,农林牧渔,冰雪运动,别墅区,剧场,加气站,加油站,动物医疗,动物园,医药销售,博物馆,口岸,台球,咖啡,商业街,商住两用楼宇,四星级酒店,图书馆,地铁,培训单位,壁球,外国菜,天文馆,宗教,家居建材,家电数码,宿舍,小吃快餐,小学,工业大楼,工厂,市场,幼儿园,广场,广播电视,度假养老,彩票销售,急救中心,成人教育,户外健身场所,投资理财,摄影打印,收费站,文体用品,文化宫,新闻出版,旅馆,景点,服务区,档案馆,棋牌室,植物园,橄榄球,水上运动,水族馆,汽车养护,汽车租赁,汽车维修,汽车配件,汽车销售,洗浴推拿,洗衣,洗车,港口码头,游乐场,游泳,火车,物流,电影院,电讯营业厅,疾病预防,百货商场,社区中心,科技馆,科研单位,篮球,红色旅游,纪念馆,经济型连锁酒店,综合体育馆,综合医院,网吧,网球,美容理发,美术展览,羽毛球,职业技术教育,艺术团体,花鸟鱼虫,茶座,蛋糕甜品店,诊所,购物中心,超市,足球,跆拳道,轮渡,邮局,酒吧,银行,长途汽车,露营地,青旅,飞机,马术&赛马,驾校,高尔夫球,高等教育
11,中西區,128,3,9,40,0,351,854,21,1,0,5,0,3,1317,199,17,0,1,205,73,13,147,443,0,80,8979,53,7699,0,585,0,1,0,2,11,0,4,19,1,415,1,0,2,313,13,24,11,8,52,123,1,696,0,38,279,152,17,361,27,7,20,214,56,5,0,45,9,1,7,0,81,61,0,51,0,3,3,22,0,0,0,2,0,0,2,4,0,52,7,5,41,114,1,9,19,1,0,65,1,9,1,117,2,1,11,5,0,7,3,9,11,1,1,428,0,0,0,1,37,22,117,1671,9,101,2,0,3,5,249,255,1,0,1,0,2,0,0,15
12,灣仔區,111,10,10,29,0,216,977,29,1,0,10,1,9,841,184,20,1,0,223,53,26,116,429,0,105,6934,31,7133,2,425,0,4,0,2,6,1,8,15,1,143,3,0,2,297,7,75,15,3,30,114,1,740,0,33,507,235,6,320,23,1,2,117,38,2,3,19,8,2,16,0,64,52,0,105,0,7,10,11,0,0,10,1,1,0,3,7,2,39,10,44,52,62,0,6,16,2,0,41,3,7,1,148,1,0,3,3,0,3,2,9,27,8,3,622,0,1,3,3,49,25,100,1358,15,80,5,0,1,9,197,201,0,0,0,0,1,2,1,4
13,東區,130,1,3,25,0,348,826,52,1,4,1,3,3,1088,189,3,0,0,278,24,39,48,536,0,38,4565,55,3956,1,268,0,2,0,0,8,1,8,29,0,161,2,0,4,140,7,19,8,12,44,144,0,447,0,67,251,129,11,271,32,54,27,123,78,1,0,45,6,3,9,0,28,86,0,54,2,3,3,16,0,1,1,1,0,0,4,14,2,217,50,17,32,120,6,8,21,4,0,36,1,11,0,93,4,0,2,5,0,1,2,8,16,3,3,298,0,4,2,2,36,10,120,1117,12,142,5,1,2,9,29,138,0,0,0,0,2,1,0,4
14,屯門區,89,1,0,17,0,117,434,44,0,1,1,3,5,516,160,2,2,0,214,17,16,27,454,0,81,1546,46,2476,2,182,1,7,2,7,5,1,9,13,0,105,1,0,3,49,4,15,0,7,16,79,2,160,0,60,179,96,36,195,32,54,100,70,55,4,0,45,1,2,5,0,9,21,0,44,1,3,2,13,1,0,2,1,0,1,2,15,0,60,23,5,16,47,2,2,33,4,0,58,2,13,0,66,5,0,0,11,0,1,0,9,22,2,1,180,0,7,1,0,15,8,70,505,7,107,4,0,0,8,22,55,0,0,0,0,1,1,1,6
15,元朗區,105,2,0,37,0,293,850,55,0,5,1,17,2,1248,292,9,0,1,492,45,36,50,772,1,223,1969,67,4379,6,422,5,90,1,10,8,0,29,33,0,194,1,1,1,83,2,26,1,7,34,180,3,274,0,94,438,155,15,296,49,22,36,143,96,6,0,53,12,3,6,0,25,46,4,75,0,4,4,33,2,0,2,0,0,0,5,66,1,216,102,108,51,43,10,1,37,7,0,281,1,12,2,92,7,0,9,16,0,0,1,8,14,7,3,326,0,9,0,1,48,21,100,720,19,144,24,1,0,14,38,66,2,1,0,0,2,4,1,1
16,荃灣區,46,0,0,7,0,73,361,11,0,0,0,0,1,159,85,0,0,0,88,14,9,29,181,0,44,2766,17,1996,1,67,0,1,0,0,1,0,1,10,0,76,1,0,1,48,1,2,0,2,15,36,0,149,1,38,140,63,3,128,10,26,34,78,29,3,0,18,1,3,5,1,2,20,3,27,0,0,1,12,0,0,0,1,0,0,3,8,0,30,13,11,12,25,1,1,9,1,0,46,0,5,0,47,1,0,0,4,0,1,0,2,3,3,3,126,0,0,0,1,10,4,38,358,2,58,2,0,2,4,22,27,0,2,0,0,1,1,0,0
17,離島區,31,1,1,3,0,23,150,9,0,0,2,0,3,159,71,0,0,0,47,7,9,9,212,0,71,143,27,909,0,53,0,5,0,5,1,0,2,5,0,11,2,1,0,43,1,0,1,5,9,5,0,57,0,67,20,8,3,69,11,2,3,25,22,2,0,9,3,2,0,1,0,6,1,17,0,1,4,13,0,0,0,1,0,3,1,3,0,6,1,0,1,5,1,12,68,2,1,8,1,5,0,13,1,0,1,3,0,0,0,2,8,1,0,12,0,0,0,3,1,4,9,73,4,29,4,0,7,5,11,11,1,11,1,4,0,0,1,0
18,南區,30,0,2,10,0,53,147,32,0,0,1,3,0,404,55,0,0,0,114,12,10,28,344,0,31,888,32,1280,2,125,0,2,0,9,4,0,8,3,0,15,1,0,1,45,1,3,1,3,10,21,0,77,0,26,79,22,26,68,20,32,15,23,30,4,0,21,4,3,3,1,3,10,2,10,1,1,1,14,1,0,0,0,0,4,1,2,0,20,3,6,0,15,0,5,19,3,0,7,1,8,0,33,5,0,4,4,0,2,0,8,16,2,5,37,0,2,3,0,11,3,11,260,4,44,2,0,3,8,9,18,0,0,0,0,0,1,2,7
19,澳门,172,21,12,26,1,760,1660,53,2,31,33,8,25,3164,299,13,2,3,1052,20,12,41,524,2,70,2759,53,6264,1,532,0,4,0,12,9,0,20,21,2,648,14,8,2,403,11,20,12,19,22,199,0,568,0,104,506,524,11,499,20,66,122,191,68,23,1,25,12,2,9,4,2,61,0,127,9,6,16,46,0,1,38,0,0,1,3,44,5,135,65,56,33,26,9,34,8,8,24,89,3,10,3,112,3,1,13,1,0,6,0,13,97,10,2,385,2,1,4,1,61,36,242,1223,14,197,0,0,2,17,123,202,1,1,2,5,1,11,4,26
20,堤东街道,18,4,0,12,0,48,298,3,1,1,0,2,2,42,120,16,0,4,190,2,0,1,19,3,19,215,8,973,0,28,0,0,0,0,0,0,0,4,0,46,0,0,0,46,0,9,1,3,0,105,0,23,0,2,65,69,0,58,1,1,1,75,13,4,0,0,14,0,1,0,5,19,0,20,1,2,4,1,0,0,25,0,0,0,1,7,5,7,2,3,38,1,3,0,1,3,0,30,3,11,2,4,0,2,8,2,0,1,2,2,2,5,3,127,0,0,0,1,56,5,85,10,0,6,0,1,0,3,9,24,0,0,0,0,0,2,0,42
21,逢源街道,11,1,3,7,0,27,127,2,2,0,0,0,2,22,41,0,0,0,80,7,1,0,11,2,13,87,0,608,0,16,0,0,0,0,0,0,0,1,0,28,3,0,1,10,2,5,0,0,5,45,0,12,0,1,60,19,2,36,4,0,1,28,5,0,0,1,9,0,1,0,2,6,0,8,2,0,5,1,0,0,5,0,0,0,0,1,0,2,0,0,13,4,0,3,1,1,0,17,2,8,0,3,0,0,2,0,0,0,0,1,1,2,0,81,1,0,3,0,7,4,38,6,2,4,0,0,0,1,5,19,0,0,0,0,0,0,0,0
22,多宝街道,1,1,0,5,0,6,38,4,0,0,0,0,3,13,24,0,0,0,37,0,2,0,6,0,7,22,3,169,0,1,0,0,0,0,2,0,0,0,0,12,2,0,0,7,1,0,0,1,3,11,0,0,0,0,16,2,4,5,3,0,0,15,2,0,0,2,7,0,0,0,0,0,0,3,0,0,2,1,0,0,4,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,4,0,1,0,0,1,0,0,0,0,2,0,0,16,0,0,22,0,0,0,2,0,1,6,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1
23,万顷沙镇,4,1,0,1,0,3,131,3,0,0,1,10,0,7,84,1,0,1,43,0,0,0,46,0,12,137,4,371,0,1,7,26,0,0,1,0,2,0,0,16,0,0,1,1,1,0,0,0,0,15,0,2,0,0,68,22,1,22,4,0,7,42,12,3,0,1,3,0,0,0,0,3,10,3,2,0,14,2,0,0,3,0,0,1,0,7,0,17,9,2,8,0,0,5,0,0,0,33,0,8,0,2,0,0,2,0,1,0,1,0,3,1,0,26,0,0,0,0,2,0,23,7,0,8,0,0,0,3,2,4,0,0,0,0,1,1,0,0
24,南沙街道,46,14,2,37,0,271,1273,12,1,5,6,36,3,172,601,18,0,2,714,45,67,1,174,1,79,1324,25,3287,0,57,8,16,0,1,0,0,11,15,0,191,0,0,15,40,13,10,3,4,35,344,0,47,0,7,887,207,8,331,14,0,14,237,65,17,0,1,57,1,5,0,19,62,7,72,9,0,86,15,2,1,34,0,0,2,2,54,15,71,34,15,125,15,17,10,4,11,0,223,4,55,3,13,5,2,18,13,0,1,8,6,13,12,3,413,2,4,6,1,49,25,196,32,3,91,4,4,3,10,42,42,0,0,0,0,0,33,2,4
25,海幢街道,15,3,5,10,0,23,172,6,0,0,0,1,2,50,113,3,0,0,154,7,1,0,25,2,26,158,0,843,0,32,0,0,0,0,2,0,0,1,0,62,1,0,0,12,9,10,0,2,3,40,0,4,0,6,53,104,3,40,6,0,2,194,6,0,0,1,10,0,1,0,3,3,0,38,3,0,8,6,0,0,14,0,0,0,1,2,1,0,1,0,5,2,0,5,4,2,0,31,1,7,1,11,1,0,5,1,2,1,0,0,12,1,0,52,0,0,0,0,9,6,45,11,1,9,0,0,3,4,5,20,0,0,0,0,0,0,0,1
26,潮连街道,9,2,0,2,0,4,120,3,0,0,0,6,2,18,64,2,0,0,32,1,0,0,45,1,6,242,7,250,0,4,2,2,0,1,0,0,4,0,0,10,0,0,0,4,0,2,0,3,0,9,0,2,0,21,45,19,1,28,1,0,38,20,6,2,0,0,2,0,0,0,0,5,2,3,2,0,7,7,0,0,1,0,0,0,0,6,0,6,2,2,2,0,1,2,1,0,0,9,1,8,0,0,0,0,0,1,0,0,0,0,2,2,0,23,0,1,4,0,5,1,21,1,1,10,0,0,0,2,2,8,1,0,0,0,0,1,0,3
27,龙口镇,5,0,0,5,0,0,86,1,0,0,0,5,0,6,51,0,0,0,9,0,3,0,54,2,10,95,1,154,0,4,0,28,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,1,0,5,0,0,0,1,46,14,1,12,3,0,14,12,6,1,1,1,3,0,0,0,0,1,2,5,1,0,4,2,2,0,0,0,0,0,0,2,0,12,3,0,1,0,1,0,0,0,0,6,0,9,0,0,0,0,0,1,0,2,0,0,4,0,0,18,0,0,0,0,9,2,8,11,0,7,0,0,0,1,0,7,0,1,0,0,0,1,0,0
28,沙坪街道,44,16,1,30,0,128,953,4,2,7,2,17,4,182,627,24,0,4,340,11,19,1,95,5,54,936,14,3011,0,30,2,7,0,9,1,0,14,8,0,185,1,0,4,42,3,4,1,4,0,207,0,42,0,10,1022,264,0,184,18,0,150,267,49,4,2,0,38,1,4,0,4,48,2,53,9,2,40,9,0,0,2,0,0,0,0,66,14,78,69,11,111,13,7,3,5,4,0,156,1,53,6,13,0,1,5,3,0,2,4,2,14,11,0,415,4,0,2,1,43,19,188,70,3,64,0,4,1,9,38,56,1,0,1,0,0,4,0,0
29,翠香街道,24,6,1,32,0,69,374,5,3,2,0,3,1,116,115,4,0,0,219,11,5,1,35,1,15,329,9,1174,0,41,0,1,0,1,3,0,2,8,0,71,0,0,0,32,6,2,2,2,0,254,0,19,0,1,145,59,3,85,5,1,4,84,16,4,1,0,19,1,1,0,4,27,0,40,2,5,4,1,0,0,23,0,0,0,0,30,3,41,63,2,50,11,2,0,3,3,0,47,0,17,2,3,0,2,11,1,0,0,1,1,9,6,0,169,6,0,1,1,22,26,86,19,4,24,1,3,0,8,11,30,0,1,0,0,0,3,0,1
30,滨江街道,7,2,1,17,0,26,150,2,1,0,0,3,4,46,68,2,0,1,137,10,5,0,21,0,21,169,3,854,0,15,0,1,0,0,0,0,0,1,0,16,2,0,0,16,0,2,0,0,9,40,0,8,0,0,162,10,3,31,4,0,4,32,4,3,0,2,10,0,1,0,1,12,0,12,2,1,8,5,0,0,15,0,0,0,0,4,1,3,3,0,17,2,1,4,0,1,0,16,1,9,0,27,1,1,5,1,0,5,2,1,2,2,0,81,0,0,2,1,16,6,26,4,2,9,0,0,2,2,9,13,0,0,0,0,0,2,0,7
31,江南中街道,9,3,0,8,0,45,238,3,1,0,0,5,0,89,81,4,0,0,217,19,4,0,22,0,48,123,0,750,0,22,0,1,1,0,2,0,0,9,0,45,0,0,6,19,1,7,0,1,3,61,0,23,0,1,152,36,10,58,5,0,1,57,9,3,0,1,17,0,3,0,3,18,0,47,0,0,10,0,0,0,21,0,0,0,1,5,1,3,1,0,25,2,1,0,0,2,0,24,1,14,0,11,1,0,6,1,0,0,2,4,5,3,0,115,0,4,3,0,19,10,75,5,6,12,1,1,0,3,12,8,0,0,0,0,0,0,0,9
32,化龙镇,6,1,0,1,0,4,329,3,0,3,0,20,1,20,189,2,0,1,71,2,18,0,47,0,19,435,19,710,0,10,11,17,0,2,0,1,4,2,0,40,0,0,3,4,0,1,1,1,0,31,0,3,0,28,117,43,2,94,6,0,19,58,10,0,0,5,9,0,0,0,0,7,6,10,3,0,32,12,0,0,6,0,0,0,0,18,0,16,13,10,23,1,6,2,1,0,0,61,0,16,0,2,1,0,3,2,0,1,0,0,10,1,1,92,2,0,0,0,10,2,57,9,0,31,1,0,0,6,2,8,0,0,0,0,1,15,0,1
33,南村镇,46,15,5,74,0,176,1752,10,5,3,5,109,0,178,696,9,0,1,774,78,64,2,164,2,152,2690,19,6047,1,148,4,15,0,5,6,0,13,25,0,206,2,0,15,70,19,17,8,6,17,432,0,108,0,44,797,247,7,537,21,0,271,284,52,7,1,3,48,0,1,0,18,113,11,83,9,0,138,9,0,0,27,1,0,3,0,79,15,146,41,91,127,28,29,3,22,13,0,294,6,50,1,38,1,0,15,18,3,0,20,12,17,21,8,654,2,9,1,8,82,36,282,58,11,120,5,1,0,4,41,53,2,0,2,0,1,32,4,4
34,新造镇,6,0,0,2,0,5,184,0,0,0,1,9,6,18,41,2,0,1,52,1,5,0,30,2,20,146,5,394,0,8,3,7,0,0,1,0,2,1,0,7,0,0,1,3,0,0,0,0,5,22,0,9,0,13,43,11,2,28,1,0,10,29,2,1,0,1,4,0,1,0,0,8,2,4,2,0,24,7,0,0,0,0,0,0,0,6,1,6,4,0,2,1,1,4,3,0,0,16,0,5,0,1,0,0,4,1,0,2,1,1,3,2,0,28,3,0,3,0,7,3,32,1,0,7,0,0,0,1,4,5,0,1,0,0,0,9,0,11
35,云勇林场,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,钟村街道,27,10,2,23,0,82,845,7,2,9,2,48,4,71,360,6,0,8,342,30,38,2,74,1,56,1234,15,2914,0,48,1,7,0,1,1,0,6,9,10,137,1,0,5,28,13,23,5,0,16,208,0,53,0,22,596,136,2,236,9,0,59,187,27,10,0,4,20,0,1,0,3,44,5,40,6,0,110,7,0,0,34,0,0,9,1,56,18,90,33,45,82,12,6,3,52,6,1,127,3,41,1,12,0,0,1,8,0,1,11,3,6,14,0,363,0,3,2,1,45,9,123,21,3,48,5,4,0,4,16,21,0,0,0,0,0,13,1,0
37,佛山监狱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,前进街道,11,4,1,32,0,70,656,1,3,2,1,22,2,85,275,0,0,0,250,19,18,0,38,1,33,672,4,1832,0,71,0,0,0,0,1,0,5,10,0,96,0,0,5,20,11,6,1,2,2,166,0,22,0,11,251,89,8,211,7,0,4,168,33,3,0,1,28,0,0,0,5,35,0,38,3,1,52,5,0,0,23,0,0,0,1,11,11,44,22,28,75,18,1,0,5,7,0,119,0,16,0,10,3,0,7,5,0,0,5,3,7,15,1,323,2,4,0,0,34,10,145,27,5,48,1,2,0,11,15,17,0,2,0,0,0,13,0,0
39,林和街道,31,5,6,36,0,37,322,0,4,0,6,8,5,62,107,20,0,5,248,18,29,0,24,0,60,546,2,1764,0,59,0,1,1,0,12,0,1,1,0,17,0,0,2,25,9,10,5,0,9,74,0,48,0,1,58,21,11,102,3,0,6,52,6,7,0,0,21,0,0,0,9,22,0,41,2,2,13,3,0,0,7,0,0,0,0,7,7,4,8,6,21,7,1,0,0,5,63,53,4,10,0,12,2,0,10,3,0,4,5,6,2,8,3,107,0,2,3,4,17,8,62,17,3,11,4,2,0,4,4,46,2,0,8,0,0,1,0,3
40,沙河街道,6,0,0,0,0,7,59,1,0,1,0,1,1,28,35,0,0,3,87,0,0,0,13,0,7,145,0,973,0,14,0,0,0,0,1,0,0,0,3,3,0,0,1,0,0,3,0,0,4,7,0,4,0,0,20,10,6,21,2,0,0,18,2,1,0,0,9,0,2,0,0,5,0,6,0,2,3,0,0,0,4,0,0,0,0,43,0,8,382,11,0,0,3,0,0,0,0,31,0,4,0,0,0,0,2,0,0,1,4,0,1,0,0,16,0,0,3,3,1,1,7,2,0,6,0,0,0,2,0,4,0,0,1,0,0,0,0,3
41,榄核镇,12,0,0,4,0,12,228,4,0,0,0,18,1,22,168,5,0,0,59,4,4,0,77,0,12,546,10,631,0,3,13,35,0,0,0,0,4,1,0,42,0,0,2,5,1,0,0,0,0,57,0,4,0,4,224,48,0,40,14,0,49,50,18,0,0,3,6,0,2,0,0,7,2,14,0,0,5,0,0,0,2,0,0,0,0,14,1,28,24,2,7,1,2,3,2,2,0,41,0,10,0,1,1,0,2,1,0,1,0,0,6,2,0,62,1,0,2,0,18,2,50,15,0,14,1,1,0,1,7,12,0,0,0,0,0,8,0,0
42,海龙街道,6,0,0,2,0,29,267,5,0,9,0,19,0,28,166,0,0,0,125,8,13,0,71,0,18,498,5,680,0,8,1,38,0,1,1,1,3,0,0,35,0,0,1,4,1,3,0,1,3,47,0,7,0,1,95,24,2,59,4,0,82,77,7,0,0,3,10,0,0,0,0,3,0,7,3,0,31,1,0,0,6,0,0,0,0,13,0,71,15,88,19,2,5,2,1,1,0,92,0,7,0,1,1,0,3,1,0,0,1,0,3,2,0,100,0,0,0,0,121,5,26,6,0,30,0,2,0,8,0,6,1,0,0,0,0,7,1,0
43,大塘街道,27,0,1,19,0,24,148,1,2,0,1,1,3,64,51,7,0,1,144,8,12,0,16,0,26,267,0,733,0,56,0,0,0,0,0,0,0,0,0,32,2,0,0,18,4,3,2,2,2,59,0,11,0,3,30,14,12,48,6,0,0,47,6,1,0,0,6,0,5,0,7,11,0,21,4,1,4,0,0,2,7,0,0,0,0,2,3,2,1,0,13,0,1,0,0,2,0,14,1,4,0,3,1,0,12,0,1,1,3,2,4,0,0,79,1,1,1,0,14,2,43,6,0,10,0,0,0,1,0,34,0,0,0,0,0,0,0,2
44,黄村街道,8,0,2,8,0,24,259,7,0,0,0,19,1,30,91,1,0,0,239,9,23,0,33,3,8,650,2,716,1,58,1,0,1,0,0,1,3,1,0,28,0,0,0,3,5,1,0,0,7,83,0,7,0,1,68,34,5,89,4,0,6,47,16,2,0,0,8,0,3,1,0,11,3,21,2,0,21,3,1,0,7,0,0,0,0,13,11,29,5,20,32,8,2,0,1,3,1,66,0,17,1,1,0,3,2,4,0,0,0,9,13,9,3,78,0,4,0,0,16,8,47,7,1,16,5,1,0,1,7,12,1,0,0,0,2,9,1,3
